scheme_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score,amfi_code
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.15455077019290386,0.11242518737374207,0.11301817123279978,0.1347978410610396,0.11989100971217971,-0.21117279560132118,0.78,26.0,26.0,26.0,10.0,29.0,38.94736842105264,125498
Nippon India Small Cap Fund - Regular - Growth,0.158228664455887,0.080060298597036,0.16373474033415758,0.292343251010993,0.1750072167561127,-0.2334488614483311,1.53,27.0,23.0,18.0,28.5,32.0,35.350877192982466,118634
Kotak Bluechip Fund - Regular - Growth,0.1684955152939842,0.1726301444443794,0.1353221114899239,0.25511741256223125,0.13042924450705445,-0.1757361416468729,1.59,22.0,24.0,25.0,35.0,24.0,34.21052631578947,120841
ICICI Pru Liquid Fund - Regular - Growth,0.07430320855847317,0.07392538786263403,0.07237539728384412,-3.650183878568478,0.06746210411099539,-0.0009773140045925555,0.74,29.0,38.0,31.0,7.0,1.0,33.1578947368421,120507
Kotak Liquid Fund - Regular - Growth,0.07125369741102916,0.06694394239074852,0.06915272985067134,-4.000348969233408,0.06455677495375998,-0.0011629327956168556,0.6,30.0,39.0,32.0,3.0,2.0,32.28070175438597,120844
Nippon India Gilt Securities Fund - Regular - Growth,0.1046246278808034,0.04061259859840338,0.05316889625171273,-0.8505789759662293,0.05074772999976104,-0.08316361763638702,0.55,33.0,36.0,35.0,1.0,6.0,29.298245614035093,118636
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05525880326360788,0.05838988442093762,0.05889418716346717,-0.7430986305648408,0.05620895216638369,-0.04328728923970093,0.77,32.0,35.0,34.0,9.0,5.0,28.07017543859648,119120
HDFC Short Term Debt Fund - Regular - Growth,0.03707552701889649,0.03915479354684703,0.04458209619173137,-1.0399413574427754,0.042817920315060876,-0.04308263824636349,0.56,34.0,37.0,38.0,2.0,4.0,25.43859649122807,100025
ABSL Liquid Fund - Regular - Growth,0.07241777200393584,0.06314299292105274,0.06509026855465327,-4.650400707150913,0.060861457957871144,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,25.087719298245624,101208
Kotak Emerging Equity Fund - Regular - Growth,0.22518986942465924,0.0775416750547262,0.06701543482038463,-0.05816681141492252,0.0780443887615508,-0.24003511326274884,1.56,28.0,29.0,29.0,33.0,33.0,18.596491228070168,120842
SBI Small Cap Fund - Direct Plan - Growth,0.13957994357447734,-0.01337083602283895,0.02054484701809378,-0.13617811182970374,0.048824215945539845,-0.5257422117012851,0.72,38.0,31.0,36.0,5.5,40.0,13.421052631578958,119599
Axis Bluechip Fund - Regular - Growth,0.0161022963455828,0.005257668501786883,0.06367989237605243,-0.13100916883965183,0.0689952982167755,-0.1440161790933726,1.64,36.0,30.0,30.0,39.5,15.0,11.491228070175447,119092
ABSL Small Cap Fund - Regular - Growth,-0.24000309180292634,-0.04151453816140693,0.07938764837247714,0.05261813647585507,0.10897091901704538,-0.3544691649336603,1.53,39.0,27.0,27.0,28.5,38.0,10.789473684210524,101207
Axis Small Cap Fund - Regular - Growth,-0.42819495166622135,-0.11703299329834216,0.015215045330823962,-0.1516581586164415,0.04801595363775955,-0.5167775370852656,1.38,40.0,32.0,37.0,17.0,39.0,4.03508771929824,119095
UTI Mid Cap Fund - Regular - Growth,-0.16807959958672036,-0.007672319440258146,0.011717454918341197,-0.29488891285108904,0.02896939786637944,-0.2800112356639287,1.51,37.0,33.0,40.0,24.5,35.0,1.6666666666666468,102886
HDFC Top 100 Fund - Regular Plan - Growth,-0.022257773892688015,0.012923525892154508,0.026370743672111008,-0.32101926049954294,0.03747580763443281,-0.24734440880673303,1.55,35.0,34.0,39.0,32.0,34.0,0.0,100016
